"1001";"SOFORT Banking"
"1002";"con protección al comprador"
"1003";"(forma de pago recomendada)"
"1004";"* Sistema de pago con protección de datos certificada por el TÜV<br>
* No requiere registrarse<br>
* Las mercancías o servicios se envían inmediatamente según disponibilidad
<br>* Por favor, tenga a mano sus datos de banca online (datos de acceso y claves de confirmación)"
"1005";"* ¡Si paga con SOFORT Banking se beneficiará de la protección al comprador! <a href='https://www.sofort-bank.com/eng-DE/general/kaeuferschutz/informationen-fuer-kaeufer/' target='_blank'>Más información</a>."
"1201";"La forma de pago seleccionada no está disponible o ha sido cancelada por el cliente. Por favor, seleccione otra forma de pago."
"1202";"El tiempo para efectuar el pago ha finalizado por razones de seguridad. No se ha efectuado ninguna transacción. Por favor, vuelva a efectuar el pago."
"1606";"Llave de configuración:"
"1607";"Llave de configuración asignada por SOFORT - se utiliza, entre otras cosas, como contraseña."
"1611";"Configuración avanzada"
"1613";"Banner o texto de la selección de las formas de pago:"
"1614";"Define si se muestra un logotipo y un texto explicativo o solo un banner al seleccionar las formas de pago."
"1615";"Banner"
"1616";"Logotipo y texto"
"1617";"Mostrar el texto o el banner de la protección al comprador"
"1618";"Define que se muestre el texto informativo o el banner de la protección al comprador al seleccionar las formas de pago. Solo se debe mostrar si en el proyecto de SOFORT está activada la protección al comprador."
"1619";"Forma de pago recomendada"
"1620";"Marcar esta forma de pago como la «forma de pago recomendada» en la selección de las formas de pago."
"1623";"Concepto 1:"
"1624";"Establece el texto que se introduce como concepto de la transferencia (27 caracteres como máximo; los caracteres especiales se sustituirán o se borrarán)."
"1625";"Concepto 2:"
"1630";"Activar registro"
"1631";"Activa el protocolo de acciones del módulo. Debe activarse únicamente para buscar errores. El archivo de registro se encuentra en [[PFAD]]."
"1632";"Asigne los siguientes cambios de estado de SOFORT al estado de pedido de su tienda:"
"1633";"Temporal:"
"1634";"Defina este estado en los pedidos que todavía no se han pagado."
"1635";"Pago confirmado:"
"1636";"Defina este estado en los pedidos que se han completado correctamente con SOFORT Banking."
"1637";"Abono:"
"1638";"Defina este estado en los pedidos cuyo pago se haya recibido en la cuenta. Solo está disponible con la cuenta de SOFORT Bank."
"1639";"Pago cancelado:"
"1640";"Defina este estado en los pedidos cancelados."
"1641";"Verificar pedido:"
"1642";"Defina este estado en los pedidos en los que se deba verificar el pago. Solo está disponible con la cuenta de SOFORT Bank."
"1643";"Reembolso parcial:"
"1644";"Defina este estado en los pedidos que se hayan reembolsado parcialmente."
"1645";"Reembolso:"
"1646";"Defina este estado en los pedidos que se hayan reembolsado completamente."
"1648";"Temporal"
"1649";"Confirmado"
"1650";"Cancelado"
"1651";"Verificar pedido"
"1652";"Reembolso"
"1653";"*sin cambio*"
"1654";"Rechazar pagos cancelados"
"1655";"Los pedidos cuyo pago se ha cancelado no se guardan."
"2001";"iDEAL"
"2002";"Selección del banco:"
"2605";"Contraseña de proyecto:"
"2606";"Contraseña asignada por SOFORT para acceder al formulario de pago de iDEAL de forma segura."
"2607";"Contraseña de notificación:"
"2608";"Contraseña asignada por SOFORT para la transmisión segura de notificaciones."
"2632";"Asigne los siguientes cambios de estado de iDEAL al estado de pedido de su tienda:"
"2633";"Temporal:"
"2634";"Defina este estado en los pedidos que todavía no se han pagado."
"2635";"Pago pendiente:"
"2636";"Defina este estado en los pedidos ya pagados, pero cuyo pago todavía no haya sido confirmado como garantizado por iDEAL."
"2637";"Pago confirmado:"
"2638";"Defina este estado en los pedidos ya pagados y confirmados como garantizados por iDEAL."
"2639";"Pago cancelado:"
"2640";"Defina este estado en los pedidos cancelados."
"2641";"Pago anulado:"
"2642";"Defina este estado en los pedidos cancelados por iDEAL."
"2643";"Reembolso parcial:"
"2644";"Defina este estado en los pedidos que se hayan reembolsado parcialmente."
"2645";"Reembolso:"
"2646";"Defina este estado en los pedidos que se hayan reembolsado completamente."
"2650";"Temporal"
"2651";"Pendiente"
"2652";"Pagado"
"2653";"Cancelado"
"2654";"Verificar pedido"
"2655";"Reembolso"
"2656";"*sin cambio de estado*"
